TED_waveform,TED_transcript
1785_AdamFoss_2016,i just think that it 's our responsibility to do it better
1786_AdamFoss_2016,by a show of hands <unk>
1787_AdamFoss_2016,how many of you by the age of twenty five had either acted up in school <unk> went somewhere you were specifically told to stay out of
1788_AdamFoss_2016,<unk> drank alcohol before your legal age all right
1789_AdamFoss_2016,how many of you shoplifted <unk> tried an illegal drug
1790_AdamFoss_2016,or got into a physical fight yes even with a sibling
1791_AdamFoss_2016,now how many of you ever spent one day in jail for any of those decisions
1792_AdamFoss_2016,<unk> how many of you sitting here today think that you 're a danger to society or should be defined by those actions of youthful indiscretion laughter
1793_AdamFoss_2016,point taken <unk>
1794_AdamFoss_2016,when we talk about criminal justice reform we often focus on a
1795_AdamFoss_2016,<unk> and that 's what i want to talk to you about today <unk> but first i 'm going to since you shared with me i 'm going to give you a confession on my part i went to law school
1796_AdamFoss_2016,to make money <unk>
1797_AdamFoss_2016,i had no interest in being a public servant i had no interest in criminal law and i definitely didn 't think that i would ever be a prosecutor
1798_AdamFoss_2016,near the end of my first year of law school i got an internship in the roxbury division of boston municipal court <unk> i knew of roxbury as an impoverished neighborhood in boston
1799_AdamFoss_2016,plagued by gun violence and drug crime
1800_AdamFoss_2016,my life and my legal career changed the first day of that internship <unk>
1801_AdamFoss_2016,i walked into a courtroom and i saw an auditorium of people
1802_AdamFoss_2016,who one by one would approach the front of that courtroom to say two words and two words only
1803_AdamFoss_2016,<unk> they were predominately black and brown <unk>
1804_AdamFoss_2016,and then a judge a defense attorney and a prosecutor would make life altering decisions about that person without their input
1805_AdamFoss_2016,they were predominately white
1806_AdamFoss_2016,as each person one by one approached the front of that courtroom <unk> i couldn 't stop but think how did they get here i wanted to know their stories <unk>
1807_AdamFoss_2016,and as the prosecutor read the facts of each case
1808_AdamFoss_2016,was thinking to myself we could have predicted that that seems so preventable <unk>
1809_AdamFoss_2016,not because i was an expert in criminal law but because it was common sense <unk>
1810_AdamFoss_2016,over the course of the internship i began to recognize people in the auditorium not because they were criminal masterminds
1811_AdamFoss_2016,but because they were coming to us for help and we were sending them out without any
1812_AdamFoss_2016,<unk> my second year of law school i worked as a paralegal for a defense attorney and in that experience i met many young men accused of murder
1813_AdamFoss_2016,even in our worst i saw human stories <unk>
1814_AdamFoss_2016,and they all contained childhood trauma victimization poverty loss <unk> disengagement from school <unk> early interaction with the police and the criminal justice system all leading to a seat in a courtroom
1815_AdamFoss_2016,<unk> convicted of murder were condemned to die in prison and it was during those meetings with those men that i couldn 't fathom why we would spend so much money to keep this one person in jail <unk>
1816_AdamFoss_2016,<unk> for the next eighty years when we could have reinvested it up front and perhaps prevented the whole thing from happening in the first place
1817_AdamFoss_2016,my third year of law school i defended people
1818_AdamFoss_2016,accused of small street crimes mostly mentally ill mostly homeless mostly drug addicted all in need of help
1819_AdamFoss_2016,they would come to us <unk> and we would send them away without that help
1820_AdamFoss_2016,they were in need of our assistance <unk> but we weren 't giving them
1821_AdamFoss_2016,<unk> by people who knew nothing
1822_AdamFoss_2016,about them <unk>
1823_AdamFoss_2016,the staggering inefficiency is what drove me to criminal justice work <unk> the unfairness of it all made me want to be a defender
1824_AdamFoss_2016,the power dynamic
1825_AdamFoss_2016,that i came to understand
1826_AdamFoss_2016,made me become a prosecutor
1827_AdamFoss_2016,i don 't want to spend a lot of time talking about the problem we know the criminal justice system needs reform <unk> we know there are two point
1828_AdamFoss_2016,<unk> three million people in american jails and prisons making us the most incarcerated nation on the planet <unk>
1829_AdamFoss_2016,we know there 's another seven million people on probation or parole <unk> we know that the criminal justice system disproportionately affects people of color particularly poor people of color
1830_AdamFoss_2016,and we know there are system failures happening everywhere that bring people to our courtrooms but what we do not discuss
1831_AdamFoss_2016,<unk> our prosecutors are to receive them
1832_AdamFoss_2016,when we talk about criminal justice reform we as a society focus on three things <unk> we complain we tweet we protest about the police about sentencing laws and about prison <unk>
1833_AdamFoss_2016,we rarely <unk> if ever talk about
1834_AdamFoss_2016,the prosecutor
1835_AdamFoss_2016,in the fall of two thousand and nine a young man was arrested by the boston police department he was eighteen years old he was african american and he was a senior at a local
1836_AdamFoss_2016,<unk> public school <unk> he had his sights set on college but his part time minimum wage job wasn 't providing the financial opportunity he needed to enroll in school
1837_AdamFoss_2016,in a series of bad decisions he stole thirty laptops from a store
1838_AdamFoss_2016,and sold them on the internet this led to his arrest and a criminal complaint of thirty felony
1839_AdamFoss_2016,<unk> the potential jail time he faced is what stressed christopher out the most but what he had little understanding of was the impact a criminal record would have on his future <unk>
1840_AdamFoss_2016,i was standing in arraignments that day when christopher 's case came across my desk and at the risk of sounding dramatic in that moment i had christopher 's life
1841_AdamFoss_2016,in my hands <unk> i was twenty nine years old a brand new prosecutor and
1842_AdamFoss_2016,i had little appreciation for how the decisions i would make would impact christopher 's
1843_AdamFoss_2016,life christopher 's case was a serious one and it needed to be dealt with as such but i didn 't think branding him a felon for the rest of his life
1844_AdamFoss_2016,was the right answer
1845_AdamFoss_2016,for the most part prosecutors step onto the job with little appreciation of the impact of our decisions regardless of our intent <unk>
1846_AdamFoss_2016,despite our broad discretion we learn to avoid risk at all cost rendering our discretion
1847_AdamFoss_2016,basically useless
1848_AdamFoss_2016,history has conditioned us to believe that somehow the criminal justice system brings about accountability and improves public safety despite evidence to the contrary <unk>
1849_AdamFoss_2016,we 're judged internally and externally by our convictions and our trial wins so prosecutors aren 't really incentivized to be creative at our case dispositions or to take risks on people we might not otherwise
1850_AdamFoss_2016,<unk> to an outdated method <unk> counterproductive to achieving the very goal that we all want <unk> and that 's safer communities <unk>
1851_AdamFoss_2016,yet most prosecutors standing in my space would have arraigned christopher
1852_AdamFoss_2016,they have little appreciation
1853_AdamFoss_2016,for what we can do arraigning christopher
1854_AdamFoss_2016,would give him a criminal record <unk> making it harder for him to get a job <unk> setting in motion a cycle that defines the failing
1855_AdamFoss_2016,<unk> criminal justice system today with
1856_AdamFoss_2016,a criminal record and without a job christopher would be unable to find employment <unk> education or stable housing
1857_AdamFoss_2016,without those protective factors in his life christopher would be more likely to commit further more serious crime <unk> the more contact christopher had with the criminal justice system the more likely it would be that he would return again
1858_AdamFoss_2016,and again and again
1859_AdamFoss_2016,all at tremendous
1860_AdamFoss_2016,<unk> social cost to his children to his family and to his peers and ladies and gentlemen it is a terrible
1861_AdamFoss_2016,public safety outcome for the rest of us
1862_AdamFoss_2016,when i came out of law school
1863_AdamFoss_2016,i did the same thing as everybody else i came out as a prosecutor expected to do justice but i never learned what justice was in my classes none of us do
1864_AdamFoss_2016,none of us
1865_AdamFoss_2016,<unk> and yet prosecutors are the most powerful actors in the criminal justice system
1866_AdamFoss_2016,our power is virtually boundless in most cases not the judge not the police not the legislature not the mayor not the governor not the president can tell us how to prosecute our cases <unk>
1867_AdamFoss_2016,the decision to arraign christopher and give him a criminal record was
1868_AdamFoss_2016,<unk> i would choose whether to prosecute him for thirty felonies for one felony for a misdemeanor or at all
1869_AdamFoss_2016,i would choose whether to leverage christopher into a plea deal or take the case to trial and ultimately i would be
1870_AdamFoss_2016,in a position to ask for christopher to go to jail
1871_AdamFoss_2016,these are decisions that prosecutors make every day unfettered <unk> and we are unaware
1872_AdamFoss_2016,and untrained of the grave consequences of those decisions
1873_AdamFoss_2016,<unk> one night this past summer i was at a
1874_AdamFoss_2016,small gathering of professional men of color from around the city
1875_AdamFoss_2016,as i stood there stuffing free finger sandwiches into my mouth as you do as public servant i noticed
1876_AdamFoss_2016,across the room a young man
1877_AdamFoss_2016,waving and smiling at me and approaching me and i i recognized him but i couldn 't place from where and before i knew it this young man
1878_AdamFoss_2016,<unk> was hugging me and thanking me
1879_AdamFoss_2016,you cared about me and you changed my life it
1880_AdamFoss_2016,was christopher
1881_AdamFoss_2016,see i never arraigned christopher he never faced a judge or a jail he never had a criminal record
1882_AdamFoss_2016,instead i worked with christopher first on being accountable for his actions <unk> and then putting him in a position where he wouldn 't
1883_AdamFoss_2016,seventy five percent of the computers that he sold and gave them back to best buy and came up with a financial plan to repay for the computers we couldn 't recover
1884_AdamFoss_2016,christopher did community service he wrote an essay reflecting on how this case could impact his future and that of the community
1885_AdamFoss_2016,he applied to college he obtained financial aid and he went on to graduate from
1886_AdamFoss_2016,<unk> after we finished hugging i looked at his name tag to learn that christopher was the manager of a large bank in boston christopher had accomplished and making a lot more money than me
1887_AdamFoss_2016,he had accomplished all of this in the six years since i had first seen him in roxbury court <unk>
1888_AdamFoss_2016,i can 't take credit for christopher 's journey to
1889_AdamFoss_2016,<unk> but i certainly did my part to keep him on the path
1890_AdamFoss_2016,there are thousands of christophers out there some locked in our jails and prisons we need thousands of prosecutors to recognize that
1891_AdamFoss_2016,and to protect them an employed christopher is better for public safety than a condemned one it 's a bigger win
1892_AdamFoss_2016,for all of us in retrospect the decision not to throw the book at christopher makes perfect sense <unk> when i saw
1893_AdamFoss_2016,<unk> him that first day in roxbury court i didn 't see a criminal standing there i saw myself a young person in need of intervention
1894_AdamFoss_2016,as an individual caught selling a large quantity of drugs in my late teens <unk> i knew firsthand the power of opportunity as opposed to the wrath of the criminal justice system <unk>
1895_AdamFoss_2016,along the way
1896_AdamFoss_2016,<unk> and guidance of my district attorney my supervisor
1897_AdamFoss_2016,and judges <unk> i learned the power of the prosecutor to change lives instead of ruining them
1898_AdamFoss_2016,and that 's how we do it in boston <unk>
1899_AdamFoss_2016,we helped a woman who was arrested for stealing groceries to feed her kids get a job <unk>
1900_AdamFoss_2016,instead of putting an abused teenager in adult jail for punching another teenager we secured mental health treatment and community supervision a runaway girl
1901_AdamFoss_2016,<unk> girl who was arrested for prostituting to survive on the streets needed a safe place to live and grow something we could help her with
1902_AdamFoss_2016,i even helped a young man who was so afraid of the older gang kids showing up after school that one morning instead of a lunchbox into his backpack he put a loaded 9 millimeter
1903_AdamFoss_2016,we would spend our time that we 'd normally take prepping our cases for months and months for trial down the road by coming
1904_AdamFoss_2016,<unk> up with real solutions to the problems as they presented <unk>
1905_AdamFoss_2016,which is the better way to spend our time
1906_AdamFoss_2016,how would you prefer your prosecutors to spend theirs
1907_AdamFoss_2016,why are we spending eighty billion dollars on a prison industry that we know is failing when we could take that money and reallocate it into education
1908_AdamFoss_2016,<unk> into mental health treatment into substance abuse treatment and to community investment so we can develop our neighborhoods
1909_AdamFoss_2016,so why should this matter to you well one we 're spending a lot of money
1910_AdamFoss_2016,our money
1911_AdamFoss_2016,it costs one hundred and nine thousand dollars in some states to lock up a teenager for a year with a sixty percent chance that that person will return to the very same system that
1912_AdamFoss_2016,<unk> a terrible
1913_AdamFoss_2016,return on investment
1914_AdamFoss_2016,number two it 's the right thing to do <unk>
1915_AdamFoss_2016,if prosecutors were a part of creating the problem it 's incumbent on us to create a solution and we can do that using other disciplines that have already done the data and research for us <unk>
1916_AdamFoss_2016,<unk> and number three your voice and your vote can make that happen the next time there 's a local district attorney 's election in your jurisdiction ask candidates these
1917_AdamFoss_2016,<unk> questions one what are you doing to make me and my neighbors safer
1918_AdamFoss_2016,two what data are you collecting and how are you training your prosecutors to make sure that it 's working and
1919_AdamFoss_2016,number three <unk> if it 's not working for everybody what are you doing to fix it if
1920_AdamFoss_2016,they can 't answer the questions <unk> they shouldn 't be doing the job
1921_AdamFoss_2016,each one of you that raised your hand at the beginning of this talk is a living breathing example
1922_AdamFoss_2016,of the power of opportunity of intervention of support and of love <unk>
1923_AdamFoss_2016,while each of you may have faced your own brand of discipline for whatever <unk>
1924_AdamFoss_2016,<unk> malfeasances you committed <unk> barely any of you needed a day in jail to make you the people that you are today some of the greatest minds on the planet <unk>
1925_AdamFoss_2016,every day thousands of times a day prosecutors around the united states wield power so great that it can bring about catastrophe as quickly as it can bring
1926_AdamFoss_2016,<unk> about opportunity intervention <unk> support and yes <unk> even love
1927_AdamFoss_2016,those qualities are the hallmarks of a strong community and a strong community is a safe one <unk> if our communities are broken don 't let the lawyers that you elect fix them with outdated inefficient expensive methods demand more vote for the prosecutor
1928_AdamFoss_2016,<unk> 's helping people stay out of jail not putting them in demand better you deserve it your children deserve it the people who are tied up in the system deserve it but most of all the people that we are sworn to <unk>
1929_AdamFoss_2016,<unk> protect and do justice for demand it we must <unk> we must do better <unk>
1930_AdamFoss_2016,<unk> speaking up
1931_AdamFoss_2016,is hard to do <unk> i understood the true meaning of this phrase exactly one month ago when my wife and i became
1932_AdamFoss_2016,new parents <unk>
1933_AdamFoss_2016,<unk> it was an amazing moment it was exhilarating and elating but it was also scary and terrifying and it got particularly terrifying
1934_AdamGalinsky_2016X,when we got home from the hospital and we were unsure whether our little baby boy was getting enough nutrients from breastfeeding <unk>
1935_AdamGalinsky_2016X,and we wanted to call
1936_AdamGalinsky_2016X,our pediatrician <unk> but we also didn 't want to make a bad first impression or come across as a crazy neurotic
1937_AdamGalinsky_2016X,<unk> so we worried <unk> and we waited <unk> when we got to the doctor 's office the next day she immediately gave him formula because he was pretty dehydrated <unk>
1938_AdamGalinsky_2016X,our son is fine now and our doctor has reassured us we can always contact her
1939_AdamGalinsky_2016X,but in that moment <unk> i should 've spoken up <unk> but i didn 't
1940_AdamGalinsky_2016X,but sometimes we speak up when we shouldn 't and i learned that over ten years ago when i let my twin brother down my twin brother
1941_AdamGalinsky_2016X,and for one of his first films he got an offer from a distribution company <unk>
1942_AdamGalinsky_2016X,he was excited and he was inclined to accept the offer <unk> but as a negotiations researcher <unk> i insisted he make a counteroffer <unk> and i helped him craft the perfect one
1943_AdamGalinsky_2016X,and it was perfect
1944_AdamGalinsky_2016X,<unk> the company was so offended they literally withdrew the offer and my brother was left with nothing <unk>
1945_AdamGalinsky_2016X,and i 've asked people all over the world about this dilemma of speaking up when they can assert themselves when they can push their interests when they can express an opinion
1946_AdamGalinsky_2016X,when they can make an ambitious ask <unk>
1947_AdamGalinsky_2016X,and
1948_AdamGalinsky_2016X,the range of stories are varied and diverse <unk> but they also make up a universal tapestry can i correct my boss when they make a
1949_AdamGalinsky_2016X,<unk> mistake can i confront my coworker
1950_AdamGalinsky_2016X,who keeps stepping on my toes can i challenge my friend 's insensitive joke can i tell the person i love the most
1951_AdamGalinsky_2016X,my deepest insecurities <unk>
1952_AdamGalinsky_2016X,and through these experiences i 've come to recognize that each of us have something called a range of acceptable behavior <unk> now <unk> sometimes
1953_AdamGalinsky_2016X,we 're too strong we push ourselves too much
1954_AdamGalinsky_2016X,<unk> 's what happened with my brother even making
1955_AdamGalinsky_2016X,an offer was outside his range of acceptable behavior <unk> but sometimes we 're too weak <unk> that 's what happened with my wife and <unk> i
1956_AdamGalinsky_2016X,and this range of acceptable behaviors when we stay within our range <unk> we 're rewarded <unk> when we step outside that range <unk> we get punished in a variety of ways we get dismissed or demeaned or even ostracized or we lose that raise or that promotion
1957_AdamGalinsky_2016X,or that deal <unk> now <unk> the first thing we need to know is what is my range <unk> but
1958_AdamGalinsky_2016X,the key thing is our range isn 't fixed
1959_AdamGalinsky_2016X,it 's actually pretty dynamic <unk> it expands
1960_AdamGalinsky_2016X,and it narrows based on the context and there 's one thing that determines that range more than anything else <unk>
1961_AdamGalinsky_2016X,and that 's your power <unk> your power determines your range
1962_AdamGalinsky_2016X,<unk> what is power <unk> power comes in lots of forms in negotiations it comes in the form of alternatives <unk>
1963_AdamGalinsky_2016X,so my brother had no alternatives <unk> he lacked power <unk> the company had lots of alternatives <unk> they had power sometimes it 's being new to a country like an immigrant or new to <unk>
1964_AdamGalinsky_2016X,<unk> an organization or new to an experience like my wife and i as new parents <unk> sometimes it 's at work where someone 's the boss and someone 's the subordinate
1965_AdamGalinsky_2016X,<unk> sometimes it 's in relationships where one person 's more invested than the other person
1966_AdamGalinsky_2016X,and the key thing is is that when we have lots of power <unk> our range is very wide we have a lot of leeway in how to behave <unk>
1967_AdamGalinsky_2016X,but when we lack power <unk> our range narrows <unk> we have very little leeway <unk>
1968_AdamGalinsky_2016X,the problem is
1969_AdamGalinsky_2016X,<unk> double bind happens when if we don 't speak up we go unnoticed <unk>
1970_AdamGalinsky_2016X,but if we do speak up <unk> we get punished <unk>
1971_AdamGalinsky_2016X,now many of you have heard the phrase the double bind and connected it with one thing and that 's gender the gender double bind is women who don 't speak up go unnoticed
1972_AdamGalinsky_2016X,<unk> and women who do speak up get punished <unk> and the key thing is that women have the same need as men to speak up <unk>
1973_AdamGalinsky_2016X,but they have barriers to doing so
1974_AdamGalinsky_2016X,but what my research has shown over the last two decades is is that what looks like a gender difference is not really a gender double bind <unk>
1975_AdamGalinsky_2016X,it 's a really a low power double bind <unk> and what looks like a gender difference are really often just power differences in disguise
1976_AdamGalinsky_2016X,<unk> and a woman or men and women <unk> and think biological cause there 's something fundamentally different about the sexes
1977_AdamGalinsky_2016X,but in study after study i 've found that a better explanation for many sex differences
1978_AdamGalinsky_2016X,is really power <unk> and so it 's the
1979_AdamGalinsky_2016X,<unk> lack power we have a narrow range and our double bind is very large
1980_AdamGalinsky_2016X,so we need to find ways to expand our range and over the last couple decades my colleagues and i have found two things really matter <unk>
1981_AdamGalinsky_2016X,the first you seem seem powerful in your own eyes the second you seem powerful in the eyes of others <unk> when i
1982_AdamGalinsky_2016X,i feel powerful
1983_AdamGalinsky_2016X,i feel confident not fearful i expand my own range <unk> when other people see me as powerful
1984_AdamGalinsky_2016X,they grant me a wider range <unk> so we need tools to expand our range of acceptable behavior and i 'm going to give you a set of tools today <unk>
1985_AdamGalinsky_2016X,<unk> speaking up is risky <unk>
1986_AdamGalinsky_2016X,but these tools will lower your risk of speaking up
1987_AdamGalinsky_2016X,<unk> the first
1988_AdamGalinsky_2016X,tool i 'm going to give you
1989_AdamGalinsky_2016X,got discovered in negotiations in an important finding
1990_AdamGalinsky_2016X,on average women make less ambitious offers and get worse outcomes than men at the bargaining table
1991_AdamGalinsky_2016X,but hannah riley bowles and emily amanatullah have discovered there 's one situation where women get the same outcomes as men and are just as ambitious
1992_AdamGalinsky_2016X,that 's when they
1993_AdamGalinsky_2016X,<unk> when they advocate for others <unk> they discover their own range and expand it in their own mind they become more assertive <unk> this is sometimes called the mama bear effect
1994_AdamGalinsky_2016X,like a mama bear defending her cubs when we advocate for others we can discover our own voice <unk>
1995_AdamGalinsky_2016X,but sometimes we have to advocate for ourselves
1996_AdamGalinsky_2016X,<unk> how do we do that one of the most important tools we have to advocate for ourselves is something called perspective taking and <unk>
1997_AdamGalinsky_2016X,is really simple it 's simply looking at the world through the eyes of another person <unk>
1998_AdamGalinsky_2016X,it 's one of the most important tools we have to expand our range <unk> when i take your perspective <unk> and i think about what you really want you 're more likely to give me what i really want <unk>
1999_AdamGalinsky_2016X,but here 's the problem
2000_AdamGalinsky_2016X,is hard to do so let 's do a little experiment <unk> i want you all to hold your hand just like this your finger put it up
2001_AdamGalinsky_2016X,and i want you to draw a capital letter e on your forehead as quickly as possible <unk>
2002_AdamGalinsky_2016X,ok <unk> it turns out that we can draw this e in one of two
2003_AdamGalinsky_2016X,<unk> this was originally designed as a test of perspective taking i 'm going to show you two pictures of someone with an e on their forehead my former student erika hall
2004_AdamGalinsky_2016X,and you can see over here that 's the correct e i drew the e so it looks like an e to another person that 's the <unk> perspective taking e because it looks like an e from someone else 's vantage point but this e over here
2005_AdamGalinsky_2016X,<unk> crisis <unk> i want to tell you about a particular crisis a man walks into a bank in watsonville california <unk>
2006_AdamGalinsky_2016X,and he says give me $ two thousand or i 'm blowing the whole bank up with a bomb
2007_AdamGalinsky_2016X,now the bank manager didn 't give him the money <unk> she took a step back she took his perspective <unk> and she noticed something really important
2008_AdamGalinsky_2016X,he asked for a specific amount of money <unk> so she said
2009_AdamGalinsky_2016X,why did you ask for $ two thousand and he said my friend is going to be evicted unless i get him $ two thousand immediately and she said oh
2010_AdamGalinsky_2016X,you don 't want to rob the bank you want to take out a loan
2011_AdamGalinsky_2016X,<unk> someone 's perspective it allows us to be ambitious and assertive but still be likable
2012_AdamGalinsky_2016X,<unk> here 's another way to be assertive but still be likable <unk> and that is to signal flexibility
2013_AdamGalinsky_2016X,now <unk> imagine you 're a car salesperson <unk> and you want to sell someone a car you 're going to more likely make the sale if you give them
2014_AdamGalinsky_2016X,<unk> my research shows that when you give people a choice among options <unk> it lowers their defenses and they 're more likely to accept your offer
2015_AdamGalinsky_2016X,and this doesn 't just work with salespeople it works with parents <unk> when my niece was four <unk> she resisted getting dressed and rejected everything <unk>
2016_AdamGalinsky_2016X,but then my sister in law had a brilliant idea
2017_AdamGalinsky_2016X,<unk> what if i gave my my daughter a choice this shirt or that shirt <unk> ok that shirt this pant or that pant ok <unk> that pant <unk> and it worked brilliantly she got dressed quickly and without resistance when
2018_AdamGalinsky_2016X,i 've asked the question around the world when people feel comfortable speaking up <unk> the number one answer is when i have social support in my
2019_AdamGalinsky_2016X,<unk> so we want to get allies on our side how do we do that well
2020_AdamGalinsky_2016X,one of the ways is be a mama bear when we advocate for others we expand our range in our own eyes and the eyes of others <unk> but we also earn strong allies <unk>
2021_AdamGalinsky_2016X,<unk> another way we can earn strong allies <unk> especially in high places is by asking other people for advice <unk>
2022_AdamGalinsky_2016X,when we ask others for advice
2023_AdamGalinsky_2016X,<unk> like us because we flatter them <unk> and we 're expressing humility <unk> and this really works to solve another double bind <unk> and that 's the <unk>
2024_AdamGalinsky_2016X,the self promotion double bind is that if we don 't advertise our accomplishments <unk> no one notices <unk> and if we do we 're not likable <unk> but if we ask for advice about one of our accomplishments we
2025_AdamGalinsky_2016X,are able to be competent in their
2026_AdamGalinsky_2016X,<unk> eyes but also be likeable and this is so powerful
2027_AdamGalinsky_2016X,it even works when you see it coming there
2028_AdamGalinsky_2016X,have been multiple times in life when i have been forewarned that a low power person has been given the advice to come ask me for advice
2029_AdamGalinsky_2016X,i want you to notice three things about this first i knew they were going to come ask me for advice two
2030_AdamGalinsky_2016X,'ve actually done research on the
2031_AdamGalinsky_2016X,<unk> strategic benefits of asking for advice <unk> and three <unk> it still worked <unk>
2032_AdamGalinsky_2016X,i took their perspective i became more invested in their cause i became more committed to them because they asked for advice <unk>
2033_AdamGalinsky_2016X,now <unk> another time we feel more confident speaking up
2034_AdamGalinsky_2016X,is when we have expertise expertise gives us credibility <unk> when we have high power <unk> we already have credibility we
2035_AdamGalinsky_2016X,<unk> only need good evidence
2036_AdamGalinsky_2016X,when we lack power <unk>
2037_AdamGalinsky_2016X,we don 't have the credibility <unk> we need excellent evidence
2038_AdamGalinsky_2016X,and one of the ways we can come across as an expert is by tapping into our passion <unk>
2039_AdamGalinsky_2016X,i want everyone
2040_AdamGalinsky_2016X,in the next few days to go up to friend of theirs and just say to them i want you to describe a passion of yours to me i 've had people do this all over the world
2041_AdamGalinsky_2016X,and i asked them what did you notice about the other person when they described their passion and the answers are always the same their eyes lit up and got big they smiled <unk>
2042_AdamGalinsky_2016X,a big beaming smile they used their hands all over i had to duck because their hands were coming at me
2043_AdamGalinsky_2016X,as you listened to their passion
2044_AdamGalinsky_2016X,they said my eyes lit up <unk> i smiled i leaned in
2045_AdamGalinsky_2016X,when we tap into our passion <unk> we give ourselves the courage in our own eyes to speak up <unk> but we also get the permission from others to speak up
2046_AdamGalinsky_2016X,tapping into our passion even works when we come across as too weak <unk> both men and women get punished
2047_AdamGalinsky_2016X,<unk> at work when they shed tears
2048_AdamGalinsky_2016X,but lizzie wolf has shown that when we frame our strong emotions as passion <unk> the condemnation of our crying
2049_AdamGalinsky_2016X,disappears for both men and women i want to end with a few words from my late father that he spoke at my twin brother 's wedding
2050_AdamGalinsky_2016X,<unk> my dad was a psychologist like me but his real love and his real passion was cinema like my brother <unk> and so he wrote a speech for my brother 's wedding
2051_AdamGalinsky_2016X,about the roles we play in the human comedy <unk>
2052_AdamGalinsky_2016X,and he said the lighter your touch <unk> the better you become at improving and enriching your performance those who embrace their roles and work to improve their performance
2053_AdamGalinsky_2016X,grow change
2054_AdamGalinsky_2016X,and expand the self play it well <unk> and your days will be mostly joyful
2055_AdamGalinsky_2016X,what my dad was saying is that we 've all been assigned ranges and roles in this world <unk>
2056_AdamGalinsky_2016X,but he was also saying the essence of this talk <unk>
2057_AdamGalinsky_2016X,those roles and ranges are constantly expanding and
2058_AdamGalinsky_2016X,<unk> so when a scene calls for it be a ferocious mama bear
2059_AdamGalinsky_2016X,and a humble advice seeker have excellent evidence and strong
2060_AdamGalinsky_2016X,allies be a passionate perspective taker <unk> and if you use those tools and each and every one of you can use these tools
2061_AdamGalinsky_2016X,you will expand your range of acceptable behavior <unk> and your days will be mostly joyful <unk> thank you
2062_AdamGalinsky_2016X,<unk> i think the beautiful malin [ akerman ] put it perfectly every man deserves the opportunity to grow a little bit of luxury <unk>
2063_AdamGalinsky_2016X,ladies and gentlemen and more importantly mo bros and mo sistas for
2064_AdamGalinsky_2016X,seventeen minutes i 'm going to share with you my movember journey <unk>
2065_AdamGalinsky_2016X,and how through that journey <unk> we 've redefined charity <unk>
2066_AdamGarone_2011X,we 're redefining the way prostate cancer researchers are working together throughout the world
2067_AdamGarone_2011X,and i hope <unk> through that process
2068_AdamGarone_2011X,that i inspire you to create something significant in your life something significant that will go on and make this world a better place
2069_AdamGarone_2011X,<unk> the most common question i get asked and i 'm going to answer it now so i don 't have to do it over drinks tonight <unk> is how did this come about how did movember <unk>
2070_AdamGarone_2011X,<unk> normally a charity starts with the cause and someone that is directly affected by a cause <unk> they then go on to create an event <unk> and beyond that a foundation to support
2071_AdamGarone_2011X,<unk> pretty much in every case that 's how a charity
2072_AdamGarone_2011X,starts
2073_AdamGarone_2011X,not so with movember
2074_AdamGarone_2011X,movember started in a very traditional australian way it was on a sunday afternoon i was with my brother and a mate having a few beers <unk> and i was watching the world go by had
2075_AdamGarone_2011X,a few more beers and the conversation turned to ' 70s fashion
2076_AdamGarone_2011X,and how everything manages to come back into style <unk> and a few more beers i said there has to be some stuff that hasn 't come back
2077_AdamGarone_2011X,<unk> back
2078_AdamGarone_2011X,then one more beer and it was whatever happened to the mustache <unk> why hasn 't that made a comeback
2079_AdamGarone_2011X,so then there was a lot more beers and then the day ended with a challenge to bring the mustache back
2080_AdamGarone_2011X,so in australia mo
2081_AdamGarone_2011X,<unk> is slang for mustache <unk> so we renamed the month of november movember and created some pretty basic rules which still stand today <unk> and they are start the month <unk>
2082_AdamGarone_2011X,rock a mustache not a beard not a goatee a mustache for the thirty days of november <unk> and then we agreed that we would come together at the end of the month have a mustache themed party
2083_AdamGarone_2011X,and award a prize for the best and of course the worst
2084_AdamGarone_2011X,<unk> now trust me when you 're growing a mustache back in two thousand and three and there were thirty of us back then and this was before the ironic
2085_AdamGarone_2011X,hipster mustache movement
2086_AdamGarone_2011X,it created a lot of controversy
2087_AdamGarone_2011X,so my boss wouldn 't let me go and see clients my girlfriend at the time who 's no longer my girlfriend
2088_AdamGarone_2011X,hated it parents would
2089_AdamGarone_2011X,<unk> shuffle kids away from us
2090_AdamGarone_2011X,but we came together at the end of the month and we celebrated our journey and it was a real journey <unk> and
2091_AdamGarone_2011X,we had a lot of fun and in two thousand and four i said to the guys that was so much fun <unk> we need to legitimize this so we can get away with it year on year
2092_AdamGarone_2011X,we were inspired by the women around us and all they were doing for breast cancer and
2093_AdamGarone_2011X,we thought you know what there 's nothing for men 's health <unk>
2094_AdamGarone_2011X,why is that <unk> <unk> why can 't we combine growing a mustache and doing something for men 's health and i started to research that topic <unk> and discovered prostate cancer is the male equivalent of breast cancer in terms of the number of men that die from it and are diagnosed
2095_AdamGarone_2011X,<unk> but there was nothing for this cause <unk> so we married growing a mustache
2096_AdamGarone_2011X,with prostate cancer
2097_AdamGarone_2011X,and then we created our tagline <unk> which is changing the face of men 's health and that eloquently describes the challenge changing your appearance for the thirty days and also the outcome that <unk>
2098_AdamGarone_2011X,<unk> we 're trying to achieve getting men engaged in their health <unk> having them have a better understanding about the health risks that they face
